No,1,2,3,4,5,6,7,8,9,10,Skor,FI,,,,,
103,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
104,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
105,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
106,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
107,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
108,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
109,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
110,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
111,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
112,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
113,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
114,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
115,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
116,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
117,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
118,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
119,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
120,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
121,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
122,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
123,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
124,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
125,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
126,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
127,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
128,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
129,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
130,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
131,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
132,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
133,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
134,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
135,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
136,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
137,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
138,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
139,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
140,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
141,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
142,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
143,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
144,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
145,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
146,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
147,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
148,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
149,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
150,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
151,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
152,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
153,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
154,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
155,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
156,2,2,1,2,2,2,2,2,2,2,19,2,,,,,
157,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
158,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
159,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
160,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
161,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
162,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
163,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
164,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
165,2,1,1,1,1,1,1,2,2,1,13,1,,,,,
166,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
167,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
168,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
169,2,1,1,1,2,1,1,1,1,1,12,1,,,,,
170,1,1,2,1,1,1,1,2,2,1,13,1,,,,,
171,1,1,2,2,2,2,2,2,2,2,18,2,,,,,
172,1,1,1,1,1,1,1,1,2,1,11,1,,,,,
173,1,1,2,1,1,1,1,2,2,1,13,1,,,,,
174,1,2,2,2,2,2,2,2,2,2,19,2,,,,,
175,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
176,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
177,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
178,1,2,2,2,2,2,2,2,2,2,19,2,,,,,
179,1,1,1,1,1,1,1,1,2,1,11,1,,,,,
180,1,1,1,1,1,1,1,1,2,1,11,1,,,,,
181,1,1,1,1,1,1,1,1,2,1,11,1,,,,,
182,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
183,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
184,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
185,1,1,1,1,1,1,1,1,2,1,11,1,,,,,
186,1,1,1,1,1,1,1,2,2,1,12,1,,,,,
187,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
188,2,2,2,2,2,2,2,2,2,2,20,2,,,,,
189,1,1,1,1,1,1,1,2,2,1,12,1,,,,,
190,1,1,1,1,1,2,1,2,2,1,13,1,,,,,
191,1,1,1,1,1,1,1,2,2,1,12,1,,,,,
192,1,1,1,1,1,1,1,1,2,1,11,1,,,,,
193,1,1,1,1,1,1,1,2,2,1,12,1,,,,,
194,1,1,1,1,1,1,1,2,2,1,12,1,,,,,
195,1,1,1,1,1,1,1,1,2,1,11,1,,,,,
